Island,Year,Month,Day,AEST start date/time,NDWI Cutoff,Area (km2),Area (m2),Perimeter (km)
Raine,2015,November,17,17/11/2015 10:47:42 AM,-0.021,0.263871,263871,2.681373
Raine,2015,December,7,07/12/2015 10:47:42 AM,-0.067,0.266501,266501,2.661489
Raine,2016,May,5,05/05/2016 10:47:12 AM,-0.03823,0.269325,269325,2.661778
Raine,2016,June,14,14/06/2016 10:47:12 AM,-0.063,0.275072,275072,2.700968
Raine,2016,August,23,23/08/2016 10:49:02 AM,-0.06,0.263481,263481,2.641606
Raine,2016,September,2,02/09/2016 10:47:12 AM,0.036,0.252961,252961,2.582532
Raine,2016,September,22,22/09/2016 10:47:02 AM,-0.063,0.267962,267962,2.700679
Raine,2016,October,12,12/10/2016 10:47:02 AM,-0.071,0.279943,279943,2.720563
Raine,2016,November,21,21/11/2016 10:47:02 AM,-0.058,0.270397,270397,2.660911
Raine,2017,May,10,10/05/2017 10:49:01 AM,-0.071,0.265332,265332,2.641895
Raine,2017,August,18,18/08/2017 10:49:01 AM,-0.035,0.289001,289001,2.760042
Raine,2017,August,23,23/08/2017 10:46:59 AM,-0.055,0.257832,257832,2.621722
Raine,2017,August,28,28/08/2017 10:47:11 AM,-0.073,0.269715,269715,2.680795
Raine,2017,November,11,11/11/2017 10:46:49 AM,-0.079,0.269618,269618,2.680795
Raine,2017,December,21,21/12/2017 10:46:59 AM,-0.107,0.253449,253449,2.621433
Raine,2018,February,14,14/02/2018 10:47:01 AM,-0.062,0.258708,258708,2.622011
Raine,2018,May,25,25/05/2018 10:47:11 AM,-0.127,0.265624,265624,2.641606
Raine,2018,June,4,04/06/2018 10:47:11 AM,-0.158,0.262994,262994,2.681374
Raine,2018,June,9,09/06/2018 10:47:09 AM,-0.063,0.280722,280722,2.681085
Raine,2018,June,14,14/06/2018 10:47:11 AM,-0.099,0.263286,263286,2.641895
Raine,2018,July,24,24/07/2018 10:47:11 AM,-0.151,0.271371,271371,2.681084
Raine,2018,July,29,29/07/2018 10:47:09 AM,-0.085,0.266501,266501,2.66149
Raine,2018,August,18,18/08/2018 10:46:59 AM,0.075,0.283839,283839,2.740447
Raine,2018,August,23,23/08/2018 10:47:11 AM,-0.085,0.276047,276047,2.720563
Raine,2018,August,28,28/08/2018 10:46:59 AM,-0.074,0.25939,259390,2.602127
Raine,2018,September,7,07/09/2018 10:46:59 AM,-0.093,0.284716,284716,2.720563
Raine,2018,September,17,17/09/2018 10:46:59 AM,-0.03,0.280917,280917,2.740158
Raine,2018,September,22,22/09/2018 10:47:01 AM,-0.069,0.266793,266793,2.661201
Raine,2018,September,27,27/09/2018 10:46:59 AM,-0.108,0.254812,254812,2.602127
Raine,2018,October,22,22/10/2018 10:47:01 AM,-0.16,0.264942,264942,2.680795
Raine,2018,November,6,06/11/2018 10:47:09 AM,-0.135,0.254812,254812,2.641028
Raine,2018,November,16,16/11/2018 10:47:09 AM,-0.119,0.268059,268059,2.680795
Raine,2018,November,26,26/11/2018 10:46:59 AM,-0.093,0.252085,252085,2.562359
Raine,2018,December,1,01/12/2018 10:47:01 AM,-0.181,0.279358,279358,2.720563
Raine,2018,December,6,06/12/2018 10:46:59 AM,-0.06,0.257929,257929,2.601838
Raine,2018,December,21,21/12/2018 10:47:01 AM,-0.097,0.257345,257345,2.621722
Raine,2019,January,10,10/01/2019 10:47:01 AM,-0.155,0.247312,247312,2.602416
Raine,2019,January,15,15/01/2019 10:47:09 AM,-0.146,0.260072,260072,0.641605
Raine,2019,April,25,25/04/2019 10:47:19 AM,-0.088,0.265721,265721,2.700968
Raine,2019,May,15,15/05/2019 10:47:19 AM,-0.049,0.268449,268449,2.681373
Raine,2019,June,19,19/06/2019 10:47:11 AM,-0.097,0.258708,258708,2.641894
Raine,2019,July,4,04/07/2019 10:47:19 AM,-0.121,0.255007,255007,2.622299
Raine,2019,July,9,09/07/2019 10:47:11 AM,-0.113,0.276533,276533,2.720852
Raine,2019,July,24,24/07/2019 10:47:19 AM,-0.135,0.260364,260364,2.641894
Raine,2019,July,29,29/07/2019 10:47:11 AM,-0.098,0.274878,274878,2.720563
Raine,2019,August,3,03/08/2019 10:47:19 AM,-0.069,0.250234,250234,2.6223
Raine,2019,August,23,23/08/2019 10:47:09 AM,-0.078,0.26991,269910,2.681662
Raine,2019,August,28,28/08/2019 10:47:11 AM,-0.092,0.269423,269423,2.701257
Raine,2019,September,7,07/09/2019 10:47:11 AM,-0.142,0.274391,274391,2.720563
Raine,2019,November,26,26/11/2019 10:47:11 AM,-0.104,0.246825,246825,2.641894
Raine,2019,December,16,16/12/2019 10:47:01 AM,-0.129,0.24887,248870,2.602416
Raine,2020,January,5,05/01/2020 10:47:01 AM,-0.11,0.261825,261825,2.681373
Raine,2020,January,20,20/01/2020 10:46:59 AM,-0.109,0.260754,260754,2.641894
Raine,2020,April,9,09/04/2020 10:46:59 AM,-0.126,0.241662,241662,2.641894
Raine,2020,April,14,14/04/2020 10:47:11 AM,-0.123,0.263968,263968,2.681662
Raine,2020,April,19,19/04/2020 10:46:59 AM,-0.112,0.258319,258319,2.642183
Raine,2020,May,9,09/05/2020 10:47:09 AM,-0.11,0.249065,249065,2.641894
Raine,2020,June,23,23/06/2020 10:47:11 AM,-0.068,0.261143,261143,2.642183
Raine,2020,June,29,28/06/2020 10:47:09 AM,-0.106,0.271274,271274,2.701257
Raine,2020,August,12,12/08/2020 10:47:11 AM,-0.091,0.274293,274293,2.681084
Raine,2020,August,17,17/08/2020 10:47:09 AM,-0.114,0.274001,274001,2.720852
Raine,2020,August,27,27/08/2020 10:47:09 AM,-0.071,0.274098,274098,2.701257
Raine,2020,September,26,26/09/2020 10:47:09 AM,-0.155,0.273806,273806,2.681373
Raine,2020,October,16,16/10/2020 10:47:09 AM,-0.105,0.254325,254325,2.622299
Raine,2020,November,5,05/11/2020 10:47:09 AM,-0.12,0.250818,250818,2.602415
Raine,2020,November,10,10/11/2020 10:47:11 AM,-0.09,0.271761,271761,2.700968
Raine,2020,December,5,05/12/2020 10:47:09 AM,-0.102,0.249065,249065,2.602127
Raine,2020,December,10,10/12/2020 10:47:01 AM,-0.105,0.269715,269715,2.700968
Raine,2020,December,20,20/12/2020 10:47:01 AM,-0.114,0.25452,254520,2.621722
Raine,2021,April,14,14/04/2021 10:46:59 AM,-0.083,0.255689,255689,2.582821
Raine,2021,May,4,04/05/2021 10:47:09 AM,-0.143,0.262994,262994,2.641894
Raine,2021,May,14,14/05/2021 10:47:09 AM,-0.097,0.257052,257052,2.622011
Raine,2021,June,8,08/06/2021 10:47:11 AM,-0.049,0.265916,265916,2.641895
Raine,2021,July,3,03/07/2021 10:47:09 AM,-0.081,0.270007,270007,2.661489
Raine,2021,July,23,23/07/2021 10:47:09 AM,-0.109,0.263773,263773,2.681373
Raine,2021,August,2,02/08/2021 10:47:09 AM,-0.095,0.268449,268449,2.661489
Raine,2021,August,22,22/08/2021 10:47:09 AM,-0.104,0.253546,253546,2.622011
Raine,2021,October,21,21/10/2021 10:47:09 AM,-0.139,0.247507,247507,2.582532
Raine,2021,October,26,26/10/2021 10:47:11 AM,-0.125,0.249552,249552,2.602127
Raine,2021,November,10,10/11/2021 10:47:09 AM,-0.125,0.254033,254033,2.602127
Raine,2021,November,20,20/11/2021 10:47:09 AM,-0.097,0.245461,245461,2.542765
Raine,2022,February,13,13/02/2022 10:47:11 AM,-0.107,0.24926,249260,2.563226
Raine,2022,May,4,04/05/2022 10:47:11 AM,-0.038,0.260169,260169,2.642184
Raine,2022,May,14,14/05/2022 10:47:11 AM,-0.108,0.263579,263579,2.681662
Raine,2022,May,24,24/05/2022 10:47:11 AM,-0.059,0.274293,274293,2.721141
Raine,2022,July,13,13/07/2022 10:47:21 AM,-0.046,0.268546,268546,2.641895
Raine,2022,September,12,11/09/2022 10:47:21 AM,-0.082,0.255104,255104,2.622011
Raine,2022,September,17,16/09/2022 10:47:09 AM,-0.096,0.261728,261728,2.641895
Raine,2022,October,21,21/10/2022 10:47:11 AM,-0.075,0.268741,268741,2.66149
Raine,2022,October,26,26/10/2022 10:47:09 AM,-0.118,0.245753,245753,2.562648
Raine,2022,November,20,20/11/2022 10:47:11 AM,-0.082,0.263481,263481,2.661201
Raine,2023,March,10,10/03/2023 10:47:01 AM,-0.075,0.247117,247117,2.622589
Green,2015,December,11,11/12/2015 10:27:22 AM,0.25,0.148577,148577,2.018647
Green,2016,February,19,19/02/2016 10:30:32 AM,0.45,0.162378,162378,2.115129
Green,2016,April,19,19/04/2016 10:30:34 AM,0.45,0.162378,162378,2.115129
Green,2016,June,8,08/06/2016 10:27:12 AM,0.5,0.165597,165597,2.189752
Green,2016,July,8,08/07/2016 10:30:32 AM,0.55,0.168565,168565,2.232221
Green,2016,October,6,06/10/2016 10:27:02 AM,0.37,0.161807,161807,2.154159
Green,2016,November,15,15/11/2016 10:27:12 AM,0.43,0.149311,149311,2.035664
Green,2016,November,25,25/11/2016 10:27:12 AM,0.4,0.164567,164567,2.17404
Green,2017,February,13,13/02/2017 10:27:01 AM,0.5,0.150414,150414,2.045275
Green,2017,July,8,08/07/2017 10:27:09 AM,0.36,0.167423,167423,2.19319
Green,2017,August,22,22/08/2017 10:27:11 AM,0.47,0.155525,155525,2.077559
Green,2017,September,6,06/09/2017 10:26:59 AM,0.45,0.164187,164187,2.173309
Green,2017,September,21,21/09/2017 10:30:31 AM,0.5,0.156912,156912,2.091528
Green,2017,September,26,26/09/2017 10:26:59 AM,0.38,0.168279,168279,2.21234
