Date_Time,Green_SLP_m
1/01/2015 0:00,0.475
1/01/2015 1:00,0.546
1/01/2015 2:00,0.794
1/01/2015 3:00,1.146
1/01/2015 4:00,1.579
1/01/2015 5:00,2.039
1/01/2015 6:00,2.385
1/01/2015 7:00,2.508
1/01/2015 8:00,2.418
1/01/2015 9:00,2.176
1/01/2015 10:00,1.824
1/01/2015 11:00,1.435
1/01/2015 12:00,1.156
1/01/2015 13:00,1.084
1/01/2015 14:00,1.18
1/01/2015 15:00,1.349
1/01/2015 16:00,1.568
1/01/2015 17:00,1.83
1/01/2015 18:00,2.037
1/01/2015 19:00,2.065
1/01/2015 20:00,1.894
1/01/2015 21:00,1.592
1/01/2015 22:00,1.211
1/01/2015 23:00,0.8
2/01/2015 0:00,0.487
2/01/2015 1:00,0.417
2/01/2015 2:00,0.6
2/01/2015 3:00,0.932
2/01/2015 4:00,1.349
2/01/2015 5:00,1.835
2/01/2015 6:00,2.306
2/01/2015 7:00,2.599
2/01/2015 8:00,2.629
2/01/2015 9:00,2.448
2/01/2015 10:00,2.133
2/01/2015 11:00,1.725
2/01/2015 12:00,1.323
2/01/2015 13:00,1.086
2/01/2015 14:00,1.079
2/01/2015 15:00,1.213
2/01/2015 16:00,1.398
2/01/2015 17:00,1.634
2/01/2015 18:00,1.894
2/01/2015 19:00,2.05
2/01/2015 20:00,1.987
2/01/2015 21:00,1.736
2/01/2015 22:00,1.389
2/01/2015 23:00,0.993
3/01/2015 0:00,0.611
3/01/2015 1:00,0.391
3/01/2015 2:00,0.45
3/01/2015 3:00,0.741
3/01/2015 4:00,1.14
3/01/2015 5:00,1.603
3/01/2015 6:00,2.111
3/01/2015 7:00,2.539
3/01/2015 8:00,2.725
3/01/2015 9:00,2.638
3/01/2015 10:00,2.374
3/01/2015 11:00,2.004
3/01/2015 12:00,1.575
3/01/2015 13:00,1.208
3/01/2015 14:00,1.053
3/01/2015 15:00,1.118
3/01/2015 16:00,1.286
3/01/2015 17:00,1.487
3/01/2015 18:00,1.731
3/01/2015 19:00,1.96
3/01/2015 20:00,2.023
3/01/2015 21:00,1.857
3/01/2015 22:00,1.542
3/01/2015 23:00,1.176
4/01/2015 0:00,0.797
4/01/2015 1:00,0.484
4/01/2015 2:00,0.39
4/01/2015 3:00,0.579
4/01/2015 4:00,0.95
4/01/2015 5:00,1.389
4/01/2015 6:00,1.872
4/01/2015 7:00,2.353
4/01/2015 8:00,2.681
4/01/2015 9:00,2.729
4/01/2015 10:00,2.537
4/01/2015 11:00,2.218
4/01/2015 12:00,1.828
4/01/2015 13:00,1.422
4/01/2015 14:00,1.134
4/01/2015 15:00,1.077
4/01/2015 16:00,1.202
4/01/2015 17:00,1.389
4/01/2015 18:00,1.597
4/01/2015 19:00,1.828
4/01/2015 20:00,1.984
4/01/2015 21:00,1.934
4/01/2015 22:00,1.68
4/01/2015 23:00,1.338
5/01/2015 0:00,0.989
5/01/2015 1:00,0.662
5/01/2015 2:00,0.455
5/01/2015 3:00,0.496
5/01/2015 4:00,0.787
5/01/2015 5:00,1.201
5/01/2015 6:00,1.648
5/01/2015 7:00,2.11
5/01/2015 8:00,2.51
5/01/2015 9:00,2.698
5/01/2015 10:00,2.616
5/01/2015 11:00,2.356
5/01/2015 12:00,2.023
5/01/2015 13:00,1.651
5/01/2015 14:00,1.308
5/01/2015 15:00,1.125
5/01/2015 16:00,1.156
5/01/2015 17:00,1.317
5/01/2015 18:00,1.505
5/01/2015 19:00,1.703
5/01/2015 20:00,1.884
5/01/2015 21:00,1.936
5/01/2015 22:00,1.782
5/01/2015 23:00,1.484
6/01/2015 0:00,1.161
6/01/2015 1:00,0.86
6/01/2015 2:00,0.617
6/01/2015 3:00,0.535
6/01/2015 4:00,0.695
6/01/2015 5:00,1.044
6/01/2015 6:00,1.458
6/01/2015 7:00,1.878
6/01/2015 8:00,2.274
6/01/2015 9:00,2.548
6/01/2015 10:00,2.592
6/01/2015 11:00,2.421
6/01/2015 12:00,2.145
6/01/2015 13:00,1.832
6/01/2015 14:00,1.512
6/01/2015 15:00,1.261
6/01/2015 16:00,1.181
6/01/2015 17:00,1.273
6/01/2015 18:00,1.438
6/01/2015 19:00,1.608
6/01/2015 20:00,1.768
6/01/2015 21:00,1.867
6/01/2015 22:00,1.813
6/01/2015 23:00,1.595
7/01/2015 0:00,1.309
7/01/2015 1:00,1.04
7/01/2015 2:00,0.814
7/01/2015 3:00,0.676
7/01/2015 4:00,0.714
7/01/2015 5:00,0.953
7/01/2015 6:00,1.31
7/01/2015 7:00,1.687
7/01/2015 8:00,2.045
7/01/2015 9:00,2.335
7/01/2015 10:00,2.47
7/01/2015 11:00,2.405
7/01/2015 12:00,2.2
7/01/2015 13:00,1.946
7/01/2015 14:00,1.68
7/01/2015 15:00,1.432
7/01/2015 16:00,1.28
7/01/2015 17:00,1.281
7/01/2015 18:00,1.393
7/01/2015 19:00,1.535
7/01/2015 20:00,1.666
7/01/2015 21:00,1.764
7/01/2015 22:00,1.772
7/01/2015 23:00,1.645
