Date_Time,Heron_SLP_m
1/01/2015 0:00,0.632
1/01/2015 1:00,0.897
1/01/2015 2:00,1.334
1/01/2015 3:00,1.849
1/01/2015 4:00,2.338
1/01/2015 5:00,2.683
1/01/2015 6:00,2.787
1/01/2015 7:00,2.631
1/01/2015 8:00,2.286
1/01/2015 9:00,1.853
1/01/2015 10:00,1.423
1/01/2015 11:00,1.082
1/01/2015 12:00,0.917
1/01/2015 13:00,0.97
1/01/2015 14:00,1.207
1/01/2015 15:00,1.558
1/01/2015 16:00,1.94
1/01/2015 17:00,2.252
1/01/2015 18:00,2.379
1/01/2015 19:00,2.259
1/01/2015 20:00,1.933
1/01/2015 21:00,1.502
1/01/2015 22:00,1.059
1/01/2015 23:00,0.699
2/01/2015 0:00,0.524
2/01/2015 1:00,0.61
2/01/2015 2:00,0.945
2/01/2015 3:00,1.449
2/01/2015 4:00,2.023
2/01/2015 5:00,2.549
2/01/2015 6:00,2.889
2/01/2015 7:00,2.939
2/01/2015 8:00,2.707
2/01/2015 9:00,2.292
2/01/2015 10:00,1.801
2/01/2015 11:00,1.324
2/01/2015 12:00,0.964
2/01/2015 13:00,0.817
2/01/2015 14:00,0.909
2/01/2015 15:00,1.186
2/01/2015 16:00,1.572
2/01/2015 17:00,1.98
2/01/2015 18:00,2.29
2/01/2015 19:00,2.377
2/01/2015 20:00,2.201
2/01/2015 21:00,1.835
2/01/2015 22:00,1.384
2/01/2015 23:00,0.937
3/01/2015 0:00,0.595
3/01/2015 1:00,0.478
3/01/2015 2:00,0.647
3/01/2015 3:00,1.061
3/01/2015 4:00,1.629
3/01/2015 5:00,2.243
3/01/2015 6:00,2.769
3/01/2015 7:00,3.053
3/01/2015 8:00,3.012
3/01/2015 9:00,2.693
3/01/2015 10:00,2.214
3/01/2015 11:00,1.68
3/01/2015 12:00,1.185
3/01/2015 13:00,0.849
3/01/2015 14:00,0.759
3/01/2015 15:00,0.912
3/01/2015 16:00,1.238
3/01/2015 17:00,1.655
3/01/2015 18:00,2.068
3/01/2015 19:00,2.339
3/01/2015 20:00,2.354
3/01/2015 21:00,2.114
3/01/2015 22:00,1.711
3/01/2015 23:00,1.246
4/01/2015 0:00,0.809
4/01/2015 1:00,0.518
4/01/2015 2:00,0.488
4/01/2015 3:00,0.751
4/01/2015 4:00,1.241
4/01/2015 5:00,1.856
4/01/2015 6:00,2.479
4/01/2015 7:00,2.956
4/01/2015 8:00,3.141
4/01/2015 9:00,2.992
4/01/2015 10:00,2.593
4/01/2015 11:00,2.065
4/01/2015 12:00,1.51
4/01/2015 13:00,1.037
4/01/2015 14:00,0.768
4/01/2015 15:00,0.765
4/01/2015 16:00,0.988
4/01/2015 17:00,1.357
4/01/2015 18:00,1.79
4/01/2015 19:00,2.174
4/01/2015 20:00,2.37
4/01/2015 21:00,2.298
4/01/2015 22:00,1.996
4/01/2015 23:00,1.566
5/01/2015 0:00,1.099
5/01/2015 1:00,0.698
5/01/2015 2:00,0.489
5/01/2015 3:00,0.567
5/01/2015 4:00,0.925
5/01/2015 5:00,1.474
5/01/2015 6:00,2.108
5/01/2015 7:00,2.696
5/01/2015 8:00,3.078
5/01/2015 9:00,3.138
5/01/2015 10:00,2.883
5/01/2015 11:00,2.418
5/01/2015 12:00,1.859
5/01/2015 13:00,1.317
5/01/2015 14:00,0.91
5/01/2015 15:00,0.743
5/01/2015 16:00,0.836
5/01/2015 17:00,1.126
5/01/2015 18:00,1.527
5/01/2015 19:00,1.948
5/01/2015 20:00,2.267
5/01/2015 21:00,2.365
5/01/2015 22:00,2.205
5/01/2015 23:00,1.852
6/01/2015 0:00,1.403
6/01/2015 1:00,0.957
6/01/2015 2:00,0.626
6/01/2015 3:00,0.528
6/01/2015 4:00,0.72
6/01/2015 5:00,1.158
6/01/2015 6:00,1.742
6/01/2015 7:00,2.356
6/01/2015 8:00,2.862
6/01/2015 9:00,3.116
6/01/2015 10:00,3.044
6/01/2015 11:00,2.695
6/01/2015 12:00,2.182
6/01/2015 13:00,1.623
6/01/2015 14:00,1.134
6/01/2015 15:00,0.832
6/01/2015 16:00,0.785
6/01/2015 17:00,0.972
6/01/2015 18:00,1.313
6/01/2015 19:00,1.72
6/01/2015 20:00,2.096
6/01/2015 21:00,2.321
6/01/2015 22:00,2.313
6/01/2015 23:00,2.074
7/01/2015 0:00,1.683
7/01/2015 1:00,1.24
7/01/2015 2:00,0.847
7/01/2015 3:00,0.619
7/01/2015 4:00,0.647
7/01/2015 5:00,0.941
7/01/2015 6:00,1.432
7/01/2015 7:00,2.014
7/01/2015 8:00,2.566
7/01/2015 9:00,2.953
7/01/2015 10:00,3.061
7/01/2015 11:00,2.867
7/01/2015 12:00,2.445
7/01/2015 13:00,1.912
7/01/2015 14:00,1.389
7/01/2015 15:00,0.995
7/01/2015 16:00,0.821
7/01/2015 17:00,0.891
7/01/2015 18:00,1.154
7/01/2015 19:00,1.521
7/01/2015 20:00,1.903
7/01/2015 21:00,2.2
7/01/2015 22:00,2.317
7/01/2015 23:00,2.21
8/01/2015 0:00,1.911
8/01/2015 1:00,1.508
8/01/2015 2:00,1.102
8/01/2015 3:00,0.799
8/01/2015 4:00,0.696
8/01/2015 5:00,0.842
8/01/2015 6:00,1.211
8/01/2015 7:00,1.717
8/01/2015 8:00,2.254
8/01/2015 9:00,2.703
8/01/2015 10:00,2.948
8/01/2015 11:00,2.916
8/01/2015 12:00,2.623
8/01/2015 13:00,2.158
8/01/2015 14:00,1.642
8/01/2015 15:00,1.197
8/01/2015 16:00,0.925
8/01/2015 17:00,0.88
8/01/2015 18:00,1.047
8/01/2015 19:00,1.354
8/01/2015 20:00,1.715
8/01/2015 21:00,2.039
8/01/2015 22:00,2.24
8/01/2015 23:00,2.253
9/01/2015 0:00,2.067
9/01/2015 1:00,1.738
9/01/2015 2:00,1.357
9/01/2015 3:00,1.025
9/01/2015 4:00,0.835
9/01/2015 5:00,0.853
9/01/2015 6:00,1.088
9/01/2015 7:00,1.489
9/01/2015 8:00,1.968
9/01/2015 9:00,2.422
9/01/2015 10:00,2.744
9/01/2015 11:00,2.849
9/01/2015 12:00,2.7
9/01/2015 13:00,2.342
9/01/2015 14:00,1.873
9/01/2015 15:00,1.415
9/01/2015 16:00,1.076
9/01/2015 17:00,0.93
9/01/2015 18:00,0.992
9/01/2015 19:00,1.219
9/01/2015 20:00,1.537
9/01/2015 21:00,1.859
9/01/2015 22:00,2.107
9/01/2015 23:00,2.213
10/01/2015 0:00,2.144
10/01/2015 1:00,1.915
10/01/2015 2:00,1.592
10/01/2015 3:00,1.269
10/01/2015 4:00,1.033
10/01/2015 5:00,0.954
10/01/2015 6:00,1.063
10/01/2015 7:00,1.341
10/01/2015 8:00,1.729
10/01/2015 9:00,2.143
10/01/2015 10:00,2.491
10/01/2015 11:00,2.689
10/01/2015 12:00,2.676
10/01/2015 13:00,2.449
10/01/2015 14:00,2.068
10/01/2015 15:00,1.635
10/01/2015 16:00,1.263
10/01/2015 17:00,1.034
10/01/2015 18:00,0.99
10/01/2015 19:00,1.12
10/01/2015 20:00,1.371
10/01/2015 21:00,1.667
10/01/2015 22:00,1.934
10/01/2015 23:00,2.108
11/01/2015 0:00,2.144
11/01/2015 1:00,2.03
11/01/2015 2:00,1.797
11/01/2015 3:00,1.516
11/01/2015 4:00,1.27
11/01/2015 5:00,1.125
11/01/2015 6:00,1.123
11/01/2015 7:00,1.273
11/01/2015 8:00,1.547
11/01/2015 9:00,1.886
11/01/2015 10:00,2.217
11/01/2015 11:00,2.463
11/01/2015 12:00,2.559
11/01/2015 13:00,2.471
11/01/2015 14:00,2.211
11/01/2015 15:00,1.846
11/01/2015 16:00,1.476
11/01/2015 17:00,1.189
11/01/2015 18:00,1.046
11/01/2015 19:00,1.065
11/01/2015 20:00,1.223
11/01/2015 21:00,1.467
11/01/2015 22:00,1.73
11/01/2015 23:00,1.948
12/01/2015 0:00,2.073
12/01/2015 1:00,2.077
12/01/2015 2:00,1.959
12/01/2015 3:00,1.756
12/01/2015 4:00,1.533
12/01/2015 5:00,1.353
12/01/2015 6:00,1.262
12/01/2015 7:00,1.287
12/01/2015 8:00,1.429
12/01/2015 9:00,1.663
12/01/2015 10:00,1.937
12/01/2015 11:00,2.191
12/01/2015 12:00,2.363
12/01/2015 13:00,2.403
12/01/2015 14:00,2.285
12/01/2015 15:00,2.03
12/01/2015 16:00,1.706
12/01/2015 17:00,1.396
12/01/2015 18:00,1.169
12/01/2015 19:00,1.07
12/01/2015 20:00,1.111
12/01/2015 21:00,1.269
12/01/2015 22:00,1.495
12/01/2015 23:00,1.731
13/01/2015 0:00,1.929
13/01/2015 1:00,2.048
13/01/2015 2:00,2.062
13/01/2015 3:00,1.974
13/01/2015 4:00,1.814
13/01/2015 5:00,1.633
13/01/2015 6:00,1.479
13/01/2015 7:00,1.39
13/01/2015 8:00,1.391
13/01/2015 9:00,1.49
13/01/2015 10:00,1.669
13/01/2015 11:00,1.89
13/01/2015 12:00,2.099
13/01/2015 13:00,2.241
13/01/2015 14:00,2.27
13/01/2015 15:00,2.162
13/01/2015 16:00,1.935
13/01/2015 17:00,1.645
13/01/2015 18:00,1.366
13/01/2015 19:00,1.159
13/01/2015 20:00,1.065
13/01/2015 21:00,1.098
13/01/2015 22:00,1.244
13/01/2015 23:00,1.462
14/01/2015 0:00,1.704
14/01/2015 1:00,1.923
14/01/2015 2:00,2.077
14/01/2015 3:00,2.137
14/01/2015 4:00,2.09
14/01/2015 5:00,1.957
14/01/2015 6:00,1.777
14/01/2015 7:00,1.596
14/01/2015 8:00,1.458
14/01/2015 9:00,1.401
14/01/2015 10:00,1.444
14/01/2015 11:00,1.581
14/01/2015 12:00,1.779
14/01/2015 13:00,1.987
14/01/2015 14:00,2.145
14/01/2015 15:00,2.202
14/01/2015 16:00,2.124
14/01/2015 17:00,1.918
14/01/2015 18:00,1.636
14/01/2015 19:00,1.348
14/01/2015 20:00,1.123
14/01/2015 21:00,1.005
14/01/2015 22:00,1.019
14/01/2015 23:00,1.162
15/01/2015 0:00,1.402
15/01/2015 1:00,1.689
15/01/2015 2:00,1.97
15/01/2015 3:00,2.192
15/01/2015 4:00,2.309
15/01/2015 5:00,2.289
15/01/2015 6:00,2.142
15/01/2015 7:00,1.911
