Date_Time,Raine_SLP_m
1/01/2015 0:00,0.516
1/01/2015 1:00,0.497
1/01/2015 2:00,0.658
1/01/2015 3:00,0.968
1/01/2015 4:00,1.361
1/01/2015 5:00,1.756
1/01/2015 6:00,2.07
1/01/2015 7:00,2.229
1/01/2015 8:00,2.197
1/01/2015 9:00,2.001
1/01/2015 10:00,1.71
1/01/2015 11:00,1.404
1/01/2015 12:00,1.151
1/01/2015 13:00,1.012
1/01/2015 14:00,1.021
1/01/2015 15:00,1.164
1/01/2015 16:00,1.385
1/01/2015 17:00,1.615
1/01/2015 18:00,1.785
1/01/2015 19:00,1.835
1/01/2015 20:00,1.725
1/01/2015 21:00,1.467
1/01/2015 22:00,1.131
1/01/2015 23:00,0.796
2/01/2015 0:00,0.536
2/01/2015 1:00,0.412
2/01/2015 2:00,0.473
2/01/2015 3:00,0.725
2/01/2015 4:00,1.116
2/01/2015 5:00,1.56
2/01/2015 6:00,1.967
2/01/2015 7:00,2.254
2/01/2015 8:00,2.351
2/01/2015 9:00,2.239
2/01/2015 10:00,1.97
2/01/2015 11:00,1.633
2/01/2015 12:00,1.311
2/01/2015 13:00,1.069
2/01/2015 14:00,0.966
2/01/2015 15:00,1.023
2/01/2015 16:00,1.208
2/01/2015 17:00,1.448
2/01/2015 18:00,1.668
2/01/2015 19:00,1.801
2/01/2015 20:00,1.79
2/01/2015 21:00,1.61
2/01/2015 22:00,1.298
2/01/2015 23:00,0.94
3/01/2015 0:00,0.622
3/01/2015 1:00,0.413
3/01/2015 2:00,0.369
3/01/2015 3:00,0.527
3/01/2015 4:00,0.87
3/01/2015 5:00,1.32
3/01/2015 6:00,1.778
3/01/2015 7:00,2.157
3/01/2015 8:00,2.376
3/01/2015 9:00,2.382
3/01/2015 10:00,2.183
3/01/2015 11:00,1.857
3/01/2015 12:00,1.502
3/01/2015 13:00,1.195
3/01/2015 14:00,0.997
3/01/2015 15:00,0.955
3/01/2015 16:00,1.072
3/01/2015 17:00,1.293
3/01/2015 18:00,1.533
3/01/2015 19:00,1.72
3/01/2015 20:00,1.793
3/01/2015 21:00,1.709
3/01/2015 22:00,1.461
3/01/2015 23:00,1.114
4/01/2015 0:00,0.762
4/01/2015 1:00,0.49
4/01/2015 2:00,0.357
4/01/2015 3:00,0.411
4/01/2015 4:00,0.667
4/01/2015 5:00,1.078
4/01/2015 6:00,1.547
4/01/2015 7:00,1.977
4/01/2015 8:00,2.286
4/01/2015 9:00,2.409
4/01/2015 10:00,2.316
4/01/2015 11:00,2.047
4/01/2015 12:00,1.694
4/01/2015 13:00,1.353
4/01/2015 14:00,1.093
4/01/2015 15:00,0.964
4/01/2015 16:00,0.996
4/01/2015 17:00,1.166
4/01/2015 18:00,1.399
4/01/2015 19:00,1.612
4/01/2015 20:00,1.742
4/01/2015 21:00,1.743
4/01/2015 22:00,1.584
4/01/2015 23:00,1.289
5/01/2015 0:00,0.938
5/01/2015 1:00,0.627
5/01/2015 2:00,0.428
5/01/2015 3:00,0.39
5/01/2015 4:00,0.544
5/01/2015 5:00,0.878
5/01/2015 6:00,1.316
5/01/2015 7:00,1.758
5/01/2015 8:00,2.117
5/01/2015 9:00,2.329
5/01/2015 10:00,2.347
5/01/2015 11:00,2.17
5/01/2015 12:00,1.862
5/01/2015 13:00,1.519
5/01/2015 14:00,1.226
5/01/2015 15:00,1.037
5/01/2015 16:00,0.989
5/01/2015 17:00,1.086
5/01/2015 18:00,1.281
5/01/2015 19:00,1.495
5/01/2015 20:00,1.656
5/01/2015 21:00,1.716
5/01/2015 22:00,1.642
5/01/2015 23:00,1.427
6/01/2015 0:00,1.118
6/01/2015 1:00,0.802
6/01/2015 2:00,0.561
6/01/2015 3:00,0.454
6/01/2015 4:00,0.516
6/01/2015 5:00,0.754
6/01/2015 6:00,1.124
6/01/2015 7:00,1.542
6/01/2015 8:00,1.915
6/01/2015 9:00,2.178
6/01/2015 10:00,2.283
6/01/2015 11:00,2.208
6/01/2015 12:00,1.978
6/01/2015 13:00,1.671
6/01/2015 14:00,1.373
6/01/2015 15:00,1.149
6/01/2015 16:00,1.041
6/01/2015 17:00,1.066
6/01/2015 18:00,1.203
6/01/2015 19:00,1.389
6/01/2015 20:00,1.555
6/01/2015 21:00,1.648
6/01/2015 22:00,1.636
6/01/2015 23:00,1.504
7/01/2015 0:00,1.265
7/01/2015 1:00,0.98
7/01/2015 2:00,0.731
7/01/2015 3:00,0.58
7/01/2015 4:00,0.57
7/01/2015 5:00,0.717
7/01/2015 6:00,1.002
7/01/2015 7:00,1.363
7/01/2015 8:00,1.718
7/01/2015 9:00,1.998
7/01/2015 10:00,2.157
7/01/2015 11:00,2.166
7/01/2015 12:00,2.026
7/01/2015 13:00,1.783
7/01/2015 14:00,1.511
7/01/2015 15:00,1.279
7/01/2015 16:00,1.133
7/01/2015 17:00,1.098
7/01/2015 18:00,1.171
7/01/2015 19:00,1.312
7/01/2015 20:00,1.459
7/01/2015 21:00,1.561
7/01/2015 22:00,1.587
7/01/2015 23:00,1.519
8/01/2015 0:00,1.356
8/01/2015 1:00,1.131
8/01/2015 2:00,0.906
8/01/2015 3:00,0.742
8/01/2015 4:00,0.685
8/01/2015 5:00,0.758
8/01/2015 6:00,0.957
8/01/2015 7:00,1.245
8/01/2015 8:00,1.553
8/01/2015 9:00,1.82
8/01/2015 10:00,2.002
8/01/2015 11:00,2.069
8/01/2015 12:00,2.009
8/01/2015 13:00,1.843
8/01/2015 14:00,1.621
8/01/2015 15:00,1.406
8/01/2015 16:00,1.244
8/01/2015 17:00,1.167
8/01/2015 18:00,1.182
8/01/2015 19:00,1.269
8/01/2015 20:00,1.381
8/01/2015 21:00,1.472
8/01/2015 22:00,1.514
8/01/2015 23:00,1.49
9/01/2015 0:00,1.393
9/01/2015 1:00,1.236
9/01/2015 2:00,1.059
9/01/2015 3:00,0.914
9/01/2015 4:00,0.838
9/01/2015 5:00,0.858
9/01/2015 6:00,0.982
9/01/2015 7:00,1.191
9/01/2015 8:00,1.437
9/01/2015 9:00,1.668
9/01/2015 10:00,1.846
9/01/2015 11:00,1.944
9/01/2015 12:00,1.945
9/01/2015 13:00,1.851
9/01/2015 14:00,1.691
9/01/2015 15:00,1.513
9/01/2015 16:00,1.358
9/01/2015 17:00,1.255
9/01/2015 18:00,1.222
9/01/2015 19:00,1.255
9/01/2015 20:00,1.324
9/01/2015 21:00,1.391
9/01/2015 22:00,1.431
9/01/2015 23:00,1.432
10/01/2015 0:00,1.386
10/01/2015 1:00,1.294
10/01/2015 2:00,1.178
10/01/2015 3:00,1.07
10/01/2015 4:00,1.005
10/01/2015 5:00,0.999
10/01/2015 6:00,1.064
10/01/2015 7:00,1.198
10/01/2015 8:00,1.374
10/01/2015 9:00,1.554
10/01/2015 10:00,1.705
10/01/2015 11:00,1.808
10/01/2015 12:00,1.849
10/01/2015 13:00,1.816
10/01/2015 14:00,1.72
10/01/2015 15:00,1.59
10/01/2015 16:00,1.459
10/01/2015 17:00,1.352
10/01/2015 18:00,1.283
10/01/2015 19:00,1.264
10/01/2015 20:00,1.284
10/01/2015 21:00,1.318
10/01/2015 22:00,1.344
10/01/2015 23:00,1.354
11/01/2015 0:00,1.345
11/01/2015 1:00,1.31
11/01/2015 2:00,1.256
11/01/2015 3:00,1.201
11/01/2015 4:00,1.166
11/01/2015 5:00,1.161
11/01/2015 6:00,1.192
11/01/2015 7:00,1.262
11/01/2015 8:00,1.365
11/01/2015 9:00,1.482
11/01/2015 10:00,1.591
11/01/2015 11:00,1.678
11/01/2015 12:00,1.735
11/01/2015 13:00,1.748
11/01/2015 14:00,1.712
11/01/2015 15:00,1.635
11/01/2015 16:00,1.54
11/01/2015 17:00,1.443
11/01/2015 18:00,1.357
