"","ï..Month","SOI","Year","Month","ENSODateD","ENSODate","Event"
"1681",201601,-19.7,2016,1,2016-01-01,"2016-01","El Nino"
"1682",201602,-19.7,2016,2,2016-02-01,"2016-02","El Nino"
"1683",201603,-4.7,2016,3,2016-03-01,"2016-03","Neutral"
"1684",201604,-22,2016,4,2016-04-01,"2016-04","El Nino"
"1685",201605,2.8,2016,5,2016-05-01,"2016-05","Neutral"
"1686",201606,5.8,2016,6,2016-06-01,"2016-06","Neutral"
"1687",201607,4.2,2016,7,2016-07-01,"2016-07","Neutral"
"1688",201608,5.3,2016,8,2016-08-01,"2016-08","Neutral"
"1689",201609,13.5,2016,9,2016-09-01,"2016-09","La Nina"
"1690",201610,-4.3,2016,10,2016-10-01,"2016-10","Neutral"
"1691",201611,-0.7,2016,11,2016-11-01,"2016-11","Neutral"
"1692",201612,2.6,2016,12,2016-12-01,"2016-12","Neutral"
"1693",201701,1.3,2017,1,2017-01-01,"2017-01","Neutral"
"1694",201702,-2.2,2017,2,2017-02-01,"2017-02","Neutral"
"1695",201703,5.1,2017,3,2017-03-01,"2017-03","Neutral"
"1696",201704,-6.3,2017,4,2017-04-01,"2017-04","Neutral"
"1697",201705,0.5,2017,5,2017-05-01,"2017-05","Neutral"
"1698",201706,-10.4,2017,6,2017-06-01,"2017-06","El Nino"
"1699",201707,8.1,2017,7,2017-07-01,"2017-07","La Nina"
"1700",201708,3.3,2017,8,2017-08-01,"2017-08","Neutral"
"1701",201709,6.9,2017,9,2017-09-01,"2017-09","Neutral"
"1702",201710,9.1,2017,10,2017-10-01,"2017-10","La Nina"
"1703",201711,11.8,2017,11,2017-11-01,"2017-11","La Nina"
"1704",201712,-1.4,2017,12,2017-12-01,"2017-12","Neutral"
"1705",201801,8.9,2018,1,2018-01-01,"2018-01","La Nina"
"1706",201802,-6,2018,2,2018-02-01,"2018-02","Neutral"
"1707",201803,10.5,2018,3,2018-03-01,"2018-03","La Nina"
"1708",201804,4.5,2018,4,2018-04-01,"2018-04","Neutral"
"1709",201805,2.1,2018,5,2018-05-01,"2018-05","Neutral"
"1710",201806,-5.5,2018,6,2018-06-01,"2018-06","Neutral"
"1711",201807,1.6,2018,7,2018-07-01,"2018-07","Neutral"
"1712",201808,-6.9,2018,8,2018-08-01,"2018-08","Neutral"
"1713",201809,-10,2018,9,2018-09-01,"2018-09","El Nino"
"1714",201810,3,2018,10,2018-10-01,"2018-10","Neutral"
"1715",201811,-0.1,2018,11,2018-11-01,"2018-11","Neutral"
"1716",201812,9.3,2018,12,2018-12-01,"2018-12","La Nina"
"1717",201901,-0.6,2019,1,2019-01-01,"2019-01","Neutral"
"1718",201902,-13.5,2019,2,2019-02-01,"2019-02","El Nino"
"1719",201903,-6.8,2019,3,2019-03-01,"2019-03","Neutral"
"1720",201904,-1.3,2019,4,2019-04-01,"2019-04","Neutral"
"1721",201905,-9,2019,5,2019-05-01,"2019-05","El Nino"
"1722",201906,-10.4,2019,6,2019-06-01,"2019-06","El Nino"
"1723",201907,-5.6,2019,7,2019-07-01,"2019-07","Neutral"
"1724",201908,-4.4,2019,8,2019-08-01,"2019-08","Neutral"
"1725",201909,-12.4,2019,9,2019-09-01,"2019-09","El Nino"
